keys,en,es-MX,hi,ja,ko,pt-BR,ru,th,vi,zh-Hans,zh-Hant
420,"Sorry, your login credentials have expired. Please login again.",Mạng không sẵn có. Vui lòng kiểm tra Cài đặt mạng của bạn.,"माफ कीजिए, आपके लॉगिन क्रिडेन्शियल्स का समय समाप्त हो चुका है। कृपया फिर से लॉगिन करें।",申し訳ありません。登録情報が失効していますので、改めて登録してください,"죄송합니다, 로그인 정보가 만료되었습니다, 다시 로그인하십시오","Desculpe,o dado não estácorreto, por favor tente novamente","Lo sentimos, sus datos para ingresar al sistema han expirado. Por favor vuelva a registrarse",ขอโทษค่ะ ข้อมูลเข้าสู่ระบบไม่ถูกต้อง กรุณาลองใหม่อีกครั้ง,Mạng không sẵn có. Vui lòng kiểm tra Cài đặt mạng của bạn.,抱歉，登录信息失效，请重新登录,抱歉，登入資訊失效，請重新登入
408,Connection attempt has failed. Please try again.,Falló el intento de conexión. Inténtelo nuevamente.,कनेक्शन का प्रयास विफल हो गया। कृपया पुनः प्रयास करें।,ネットワークエラー。後で再試行してください。,네트워크 연결 실패. 다시 시도하십시오.,Tentativa de conexão falhou. Tente novamente.,Подключение не установлено. Попробуйте еще раз.,สภาพเครือข่ายไม่ดี โปรดลองอีกครั้งในภายหลัง,Thử kết nối đã thất bại. Vui lòng thử lại.,网络情况不佳，请稍候再试,網絡情況不佳，請稍候再試
500,Data-loading error. Please try again later,Error en carga de los datos. Por favor intente de nuevo posteriormente,डेटा लोडिंग त्रुटि। कृपया बाद में पुनः प्रयास करें,データのロードに失敗しました。少したってから再度お試しください,"데이터 가져오기 오류, 잠시후 다시 시도하십시오","Erro ao carregar dados, por favor tente mais tarde","Ошибка при загрузке данных. Пожалуйста, попробуйте позже",โหลดข้อมุลไม่สำเร็จ กรุณาลองใหม่อีกครั้ง,"Dữ liệu tải không thành công, vui lòng thử lại sau",数据加载出错，请稍后重试,數據加載出錯，請稍後重試
setting_face_auto_save,Automatically save Selfies,Guardar selfies automáticamente,सेल्फ़ी स्वचालित रूप से सहेजें,自撮りを自動保存,셀카 자동 저장,Salve selfies automaticamente,Автоматически сохранять селфи,บันทึกเซลฟีอัตโนมัติ,Tự động lưu ảnh Selfie,美肤自拍拍照自动保存,美膚自拍拍照自動保存
common_share_weixinMonent,Moments,Moments,पल,Moments,모멘트,Momentos,Моменты,Moments,Khoảnh khắc,微信朋友圈,微信朋友圈
common_share_miaopai,Shot,Disparo,शूट करें,Shot,촬영,Captura,Снимок,Shot,Chụp,秒拍,秒拍
share_sharemenu_sendtoWeChat_moment,WeChat Moments,WeChat Moments,WeChat पल,WeChat Moments,위챗 모멘트,Momentos WeChat,Моменты WeChat,WeChat Moments,Kh.khắc WeChat,微信朋友圈,微信朋友圈
common_share_weixinFriend,WeChat,WeChat,WeChat मित्र,WeChat,위챗 프렌즈,WeChat,WeChat,WeChat,WeChat,微信好友,微信好友
newuser_code_we_send_code_to_your_number,We sent an SMS verification code to your phone number %@,Enviamos un código de verificación por SMS a su número de teléfono %@,हमने आपके %@ फ़ोन नंबर पर SMS सत्यापन कोड भेजा है,SMS認証を%@の電話番号に送信しました。,SMS 인증코드%@를 귀하의 휴대전화로 전송했습니다.,Enviamos um código de verificação SMS para o seu número de telefone %@,Отправлен код подтверждения с помощью SMS-сообщения на номер %@,เราได้ส่งรหัสยืนยันทาง SMS ไปยังหมายเลขโทรศัพท์ของคุณ %@,Chúng tôi đã gửi một mã xác thực SMS tới số điện thoại của bạn %@,我们已将验证码短信发送到你的手机号码%@,我們已將驗證碼短信發送到你的手機號碼%@
newuser_account_notice_for_upgrade,"We have started account upgrade, and will only support login by email/phone from now on. To ensure normal use of our member services, please link your email/phone as soon as possible.","Hemos comenzado con la actualización de la cuenta y solamente será compatible iniciar sesión por correo electrónico/teléfono desde este momento. Para garantizar el uso normal de nuestros servicios para miembros, tenga a bien enlazar su correo electrónico/teléfono cuanto antes.","हमने खाता अपग्रेड शुरू कर दिया है, और अब से केवल ईमेल/फ़ोन द्वारा लॉगइन का समर्थन करेंगे। हमारी सदस्य सेवाओं का सामान्य उपयोग सुनिश्चित करने के लिए, कृपया अपना ईमेल/फ़ोन यथाशीघ्र लिंक करें।",アカウントをアップグレートしました。今後はEメールアドレス／電話番号のみでのログインとなります。会員サービスを正常に利用いただくため、Eメールアドレス／電話番号をできるだけ早くリンクしてください。,"계정이 업그레이드되어, 지금부터 이메일/전화 로그인디 지원됩니다. 귀하의 이메일/휴대폰 번호를 바인딩하시면 즉시 회원 서비스를 이용하실 수 있습니다.","Começamos uma atualização de conta, e só daremos suporte a login por e-mail/telefone a partir de agora. Para garantir o uso normal dos nossos serviços de membro, vincule o seu e-mail/telefone assim que possível.",Началось обновление учетной записи и теперь будет поддерживаться только вход по электронной почте/номеру телефона. Для обеспечения нормального использования наших сервисов выполните привязку электронной почты/номера телефона как можно скорее.,เราได้เริ่มทำการอัปเดตบัญชีแล้ว จากนี้ไปจะรองรับการเข้าสู่ระบบด้วยอีเมล/โทรศัพท์เท่านั้น เพื่อให้มั่นใจว่าจะใช้บริการสมาชิกได้เป็นปกติ กรุณาลิงค์อีเมล/โทรศัพท์ของคุณให้เร็วที่สุดเท่าที่ทำได้,"Chúng tôi đã bắt đầu nâng cấp tài khoản và sẽ chỉ hỗ trợ đăng nhập bằng email/điện thoại kể từ bây giờ. Để đảm bảo sử dụng bình thường các dịch vụ thành viên của chúng tôi, vui lòng liên kết email/điện thoại của bạn ngay khi có thể.",我们已经启动账号升级，后续将仅支持邮箱/手机登录，为了你能正常使用我们的会员服务，请尽快关联你的邮箱/手机。,我們已經啟動賬號升級，後續將僅支持郵箱/手機登錄，為了你能正常使用我們的會員服務，請盡快關聯你的郵箱/手機。
newuser_account_notice_for_upgrade_foreign,"We have already started account upgrade, and will only support email logins going forward. Please bind your email ASAP to ensure normal use of our member services.",Hemos comenzado con la actualización de la cuenta y en solamente serán compatibles los inicios de sesión en progreso. Tenga a bien enlazar su correo electrónico cuanto antes para garantizar el uso normal de nuestros servicios para miembros.,"हमने पहले ही खाता अपग्रेड शुरू कर दिया है, और आगे केवल ईमेल लॉगइन का समर्थन करेंगे। हमारी सदस्य सेवाओं का सामान्य उपयोग सुनिश्चित करने के लिए कृपया अपनी ईमेल यथाशीघ्र बाइंड करें।",アカウントをアップグレートしました。今後はEメールアドレスのみでのログインとなります。会員サービスを正常に利用いただくため、Eメールアドレスをできるだけ早くリンクしてください。,"계정이 업그레이드되어, 지금부터 이메일/전화 로그인디 지원됩니다. 귀하의 이메일을 바인딩하시면 즉시 회원 서비스를 이용하실 수 있습니다.","Já começamos a atualização da conta, e só daremos suporte a logins de e-mail a partir de agora. Vincule o seu e-mail o mais rápido possível para garantir o uso normal dos nossos serviços de membro.",Началось обновление учетной записи и теперь будет поддерживаться только вход по электронной почте. Для обеспечения нормального использования наших сервисов выполните привязку электронной почты как можно скорее.,เราได้เริ่มอัปเกรดบัญชีแล้ว และจะรองรับการลงชื่อเข้าใช้ด้วยอีเมลเท่านั้น กรุณาผูกอีเมลของคุณทันทีเพื่อให้แน่ใจว่าจะใช้บริการสมาชิกได้ตามปกติ,Chúng tôi đã bắt đầu nâng cấp tài khoản và sẽ chỉ hỗ trợ đăng nhập bằng email từ giờ trở đi. Vui lòng gắn kết email của bạn ngay khi có thể để đảm bảo sử dụng bình thường các dịch vụ thành viên của chúng tôi.,我们已经启动账号升级，后续将仅支持邮箱登录，为了你能正常使用我们的会员服务，请尽快关联你的邮箱。,我們已經啟動賬號升級，後續將僅支持郵箱登錄，為了你能正常使用我們的會員服務，請盡快關聯你的郵箱。
camera360_camera_idle_do,Wake Me Up,Despiértame,वेक अप,スリープ解除,절전모드 해제,Acorde-me,Разбудить меня,ปลุกตื่นทันที,Tỉnh dậy,立即唤醒,立即喚醒
